topic,canonical_sources,ordering_variable,project_relevance,equation_hint,claim_boundary
morphology_sequence,"Hubble 1926; de Vaucouleurs 1959; Roberts & Haynes 1994",morphological stage T / bulge-to-disk / early-to-late sequence,"Classical morphology orders stellar concentration, gas fraction, color, and star-formation tendency, but it is not a one-dimensional physical clock.","Use T only as a weak prior or side-channel: late-type/gas-rich systems should not automatically be treated as dynamically mature.","Morphology alone cannot determine activation; SPARC is disk-biased and T is coarse."
morphology_density_environment,"Dressler 1980; Kauffmann et al. 2004; Blanton & Moustakas 2009",environment and density/quenching state,"Environment changes morphology and quenching pathway; isolated gas-rich dwarfs and disturbed/tidal objects must be separated.","Add an environment/disturbance quarantine multiplier rather than folding every outlier into the same scalar maturity axis.","Environment columns are not available in the current SPARC table; use as follow-up flag only."
star_forming_main_sequence,"Noeske et al. 2007; Speagle et al. 2014; Brinchmann et al. 2004",SFR-Mstar offset / sSFR / star-forming vs quenched state,"Galaxy evolution often tracks distance from the star-forming main sequence; this is closer to gas-processing state than morphology alone.","If SFR exists, add a gas-processing/depletion coordinate: sSFR or SFE should govern transition speed, not just current f_gas.","SFR is missing from the current SPARC-lite inputs; use xGASS/xCOLD/MaNGA proxy layer until direct SPARC SFR is added."
gas_regulator,"Lilly et al. 2013; Dekel & Mandelker 2014; Tacchella et al. 2016",gas inflow/outflow equilibrium; depletion time; gas fraction,"Gas-regulator models treat galaxies as reservoirs whose state depends on inflow, star formation, outflow, and depletion time.","Replace pure product gate with a reservoir disequilibrium term: activation rises when gas conversion and surface-density compaction outrun H I reservoir extension.","Current table has f_gas but not inflow/outflow/SFR; a diagnostic proxy is possible, accepted law is not."
kennicutt_schmidt_toomre,"Kennicutt 1998; Martin & Kennicutt 2001; Toomre 1964; Romeo & Mogotsi 2017",gas/stellar surface density and disk stability Q,"Star formation and disk settling depend on surface density and stability threshold; low surface-density gas-rich systems remain weakly coupled.","Keep Sigma_b but use it with compaction/stability form, e.g. Sigma_b times stellar conversion over H I extension; do not let high gas alone activate.","Toomre Q needs velocity dispersion and epicyclic frequency; not available in SPARC scalar table."
angular_momentum_fall,"Fall & Efstathiou 1980; Fall & Romanowsky 2013; Obreschkow & Glazebrook 2014",specific angular momentum j and spin-like ordering,"Morphology and disk/spheroid state are strongly organized by specific angular momentum at fixed mass.","Promising alternative: use a nonleaky angular-momentum residual or spin proxy as a separate order parameter: settled disks have coherent j; disturbed/underrotating systems do not.","Observed j uses V and can leak into A_inferred; use nonleaky proxy or out-of-fold residual with strict tests."
atlas3d_fast_slow,"Cappellari et al. 2011; Emsellem et al. 2011; Krajnovic et al. 2011",lambda_R fast/slow rotator sequence,"Ellipticals/lenticulars are better ordered by kinematic angular momentum than visual morphology.","For external early-type bridge, activation should be a rotation-support coordinate, not a Hubble-type coordinate.","lambda_R not available for SPARC; proxy layer only."
btfr_rar,"McGaugh 2005; McGaugh 2012; Lelli et al. 2016; McGaugh, Lelli & Schombert 2016",BTFR/RAR response and acceleration scale,"These are endpoint dynamical relations. They are close to the target rather than independent maturity predictors.","Use BTFR/RAR only for validation/residual definition, not base ordering features, unless explicitly labeled leaky upper-bound diagnostic.","alpha_BTFR or RAR-derived variables reuse velocity information and can inflate rho."
hi_size_mass,"Broeils & Rhee 1997; Wang et al. 2016; Lelli et al. 2016",H I extent, H I size-mass relation, gas compaction,"H I extent tracks whether gas is diffuse reservoir or compact participating disk.","Refine A_HI: compare observed R_HI/R_d against mass-dependent expected H I size, not a fixed threshold alone.","Requires H I size/mass calibration; current RHI/Rd threshold is crude."
disk_settling_highz,"Kassin et al. 2012; Simons et al. 2017; TNG50 disk evolution papers",rotation/dispersion settling and turbulence,"Disks settle through declining turbulence and increasing ordered rotation, not just through increasing stellar fraction.","Add a settling coordinate where activation depends on ordered support/coherence. In SPARC scalar data this can only be approximated by j/spin or residual structure.","Need velocity dispersion/2D kinematics for real test."
compaction_quenching,"Dekel & Burkert 2014; Tacchella et al. 2016; Zolotov et al. 2015",central density/compaction -> blue nugget -> quenching,"Evolution can be non-monotonic: gas-rich compaction can raise central density before quenching or spheroid formation.","Use two axes rather than one: reservoir maturity and compaction/central-density maturity. Product gate is too brittle if these axes evolve differently.","Current SPARC table has disk-average Sigma_b, not central density."
merger_spheroid,"Toomre 1977; Barnes & Hernquist 1992; Hopkins et al. 2009",merger-driven spheroid formation and angular-momentum loss,"Spiral/elliptical formation includes multiple channels, not a single spiral-to-elliptical ladder.","Introduce branch labels: disk-settling sequence vs disturbed/merger/spheroid branch. Do not force all objects onto one scalar clock.","SPARC disk sample cannot directly calibrate spheroid branch."
simulation_state_space,"EAGLE; IllustrisTNG/TNG50; SIMBA; CANDELS/3D-HST",multi-dimensional state space: mass, gas, size, SFR, j, environment,"Modern simulations/surveys use multi-axis state spaces rather than one morphology sequence.","Best proposed scheme: two-axis base equation with reservoir conversion R and dynamical settling J, plus quarantine/environment branch flag.","Simulation consistency is conceptual until matched variables are ingested."
