object_name,source_type,m40_stratum,needed_label,current_status,reason_needed,recommended_source_or_observation
NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC5371,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC5371,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC5371,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,resolved_HI_velocity_field,sparse,Resolved velocity fields are needed to distinguish physical onset failure from endpoint contamination.,Resolved H I velocity field with approaching/receding sides and outer rotation curve.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC3741,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC3741,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
NGC3741,direct_sparc_m36_m39,clean_juvenile_failed_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
NGC3741,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
F583-1,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
F583-1,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
F583-1,direct_sparc_m36_m39,clean_juvenile_failed_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
F583-1,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC00731,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC00731,direct_sparc_m36_m39,clean_juvenile_failed_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC00731,direct_sparc_m36_m39,clean_juvenile_failed_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC00731,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,approach_recede_velocity_split,sparse,Side-to-side velocity mismatch can contaminate A_inferred rank ordering.,Approaching/receding H I velocity split or tilted-ring residual audit.
UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
NGC3109,direct_sparc_m36_m39,clean_juvenile_failed_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
NGC3109,direct_sparc_m36_m39,clean_juvenile_failed_candidates,outer_curve_quality_flag,missing,Outer endpoint reliability determines whether A_inferred is physical or a bad target label.,Outer rotation-curve endpoint quality audit from H I/optical velocity data.
F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,SFR_or_depletion_time,missing,Separates gas-rich physically immature systems from failed/stalled low-efficiency systems.,SFR and gas-depletion crossmatch from UV/H-alpha/IR plus H I/H2 gas data.
F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,inclination_reaudit,available_but_incomplete,Inclination extremes can invert inferred activation targets.,Inclination reaudit from resolved H I/stellar geometry.
F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,direct_HI_warp_asymmetry,sparse,Warp/asymmetry labels test whether the negative rank signal is observationally driven.,Resolved H I morphology/asymmetry/warp measurement.
