topic,source,rank,title,year,authors,venue,citationCount,doi,url,concepts,abstract,query,error
hubble_sequence,openalex,1,"The many lives of active galactic nuclei: cooling flows, black holes and the luminosities and colours of galaxies",2005,Darren J. Croton; Volker Springel; Simon D. M. White; G. De Lucia; C. S. Frenk; L. Gao,Monthly Notices of the Royal Astronomical Society,3676,https://doi.org/10.1111/j.1365-2966.2005.09675.x,https://openalex.org/W2140980425,Physics; Astrophysics; Active galactic nucleus; Supermassive black hole; Galaxy; Astronomy; Accretion (finance); Star formation,"We simulate the growth of galaxies and their central supermassive black holes by implementing a suite of semi-analytic models on the output of the Millennium Run, a very large simulation of the concordance cold dark matter cosmogony. Our procedures follow the detailed assembly history of each object and are able to track the evolution of all galaxies more massive than the Small Magellanic Cloud throughout a volume comparable to that of large modern redshift surveys. In this first paper we supplement previous treatments of the growth and activity of central black holes with a new model for 'radio' feedback from those active galactic nuclei that lie at the centre of a quasi-static X-ray-emitting atmosphere in a galaxy group or cluster. We show that for energetically and observationally plausible parameters such a model can simultaneously explain: (i) the low observed mass drop-out rate in cooling flows; (ii) the exponential cut-off at the bright end of the galaxy luminosity function; and (iii) the fact that the most massive galaxies tend to be bulge-dominated systems in clusters and to contain systematically older stars than lower mass galaxies. This success occurs because static hot atmospheres form only in the most massive structures, and radio feedback (in contrast, for example, to supernova or starburst feedback) can suppress further cooling and star formation without itself requiring star formation. We discuss possible physical models that might explain the accretion rate ",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,2,<i>E pur si muove:</i>Galilean-invariant cosmological hydrodynamical simulations on a moving mesh,2009,Volker Springel,Monthly Notices of the Royal Astronomical Society,2373,https://doi.org/10.1111/j.1365-2966.2009.15715.x,https://openalex.org/W2073424199,Physics; Galilean invariance; Eulerian path; Adaptive mesh refinement; Riemann solver; Riemann problem; Classical mechanics; Finite volume method,"Hydrodynamic cosmological simulations at present usually employ either the Lagrangian smoothed particle hydrodynamics (SPH) technique or Eulerian hydrodynamics on a Cartesian mesh with (optional) adaptive mesh refinement (AMR). Both of these methods have disadvantages that negatively impact their accuracy in certain situations, for example the suppression of fluid instabilities in the case of SPH, and the lack of Galilean invariance and the presence of overmixing in the case of AMR. We here propose a novel scheme which largely eliminates these weaknesses. It is based on a moving unstructured mesh defined by the Voronoi tessellation of a set of discrete points. The mesh is used to solve the hyperbolic conservation laws of ideal hydrodynamics with a finite-volume approach, based on a second-order unsplit Godunov scheme with an exact Riemann solver. The mesh-generating points can in principle be moved arbitrarily. If they are chosen to be stationary, the scheme is equivalent to an ordinary Eulerian method with second-order accuracy. If they instead move with the velocity of the local flow, one obtains a Lagrangian formulation of continuum hydrodynamics that does not suffer from the mesh distortion limitations inherent in other mesh-based Lagrangian schemes. In this mode, our new method is fully Galilean invariant, unlike ordinary Eulerian codes, a property that is of significant importance for cosmological simulations where highly supersonic bulk flows are common. In addition, t",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,3,"Evolutionary population synthesis: models, analysis of the ingredients and application to high-z galaxies",2005,Claudia Maraston,Monthly Notices of the Royal Astronomical Society,1925,https://doi.org/10.1111/j.1365-2966.2005.09270.x,https://openalex.org/W1970333333,Physics; Astrophysics; Globular cluster; Asymptotic giant branch; Small Magellanic Cloud; Metallicity; Galaxy; Milky Way,"Evolutionary population synthesis models for a wide range of metallicities, ages, star formation histories, initial mass functions and horizontal branch morphologies, including blue morphologies at high metallicity, are computed. The model output comprises spectral energy distributions, colours, stellar M/L ratios, bolometric corrections and near-infrared (IR) spectral line indices. The energetics of the post main sequence evolutionary phases are evaluated with the fuel consumption theorem. The impact on the models of the stellar evolutionary tracks (in particular with and without overshooting) is assessed. We find modest differences in synthetic broad-band colours as induced by the use of different tracks in our code [e.g. (V -K ) 0.08 mag, (B -V ) 0.03 mag]. Noticeably, these differences are substantially smaller than the scatter among other models in the literature, even when the latter adopt the same evolutionary tracks. The models are calibrated with globular cluster data from the Milky Way for old ages, and the Magellanic clouds plus the merger remnant galaxy NGC 7252, both for young ages of 0.1-2 Gyr, in a large wavelength range from the U band to the K band. Particular emphasis is put on the contribution from the thermally pulsing asymptotic giant branch (TP-AGB) phase. We show that this evolutionary phase is crucial for the modelling of young stellar populations by direct comparison with observed spectral energy distributions of Magellanic cloud clusters, which are c",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,4,Ultralight scalars as cosmological dark matter,2017,Lam Hui; Jeremiah P. Ostriker; Scott Tremaine; Edward Witten,Physical review. D/Physical review. D.,1689,https://doi.org/10.1103/physrevd.95.043541,https://openalex.org/W2594838509,Dark matter; Physics; Dark energy; Cosmology; Astrophysics; Theoretical physics,"Many aspects of the large-scale structure of the Universe can be described successfully using cosmological models in which $27\ifmmode\pm\else\textpm\fi{}1%$ of the critical mass-energy density consists of cold dark matter (CDM). However, few---if any---of the predictions of CDM models have been successful on scales of $\ensuremath{\sim}10\text{ }\text{ }\mathrm{kpc}$ or less. This lack of success is usually explained by the difficulty of modeling baryonic physics (star formation, supernova and black-hole feedback, etc.). An intriguing alternative to CDM is that the dark matter is an extremely light ($m\ensuremath{\sim}{10}^{\ensuremath{-}22}\text{ }\text{ }\mathrm{eV}$) boson having a de Broglie wavelength $\ensuremath{\lambda}\ensuremath{\sim}1\text{ }\text{ }\mathrm{kpc}$, often called fuzzy dark matter (FDM). We describe the arguments from particle physics that motivate FDM, review previous work on its astrophysical signatures, and analyze several unexplored aspects of its behavior. In particular, (i) FDM halos or subhalos smaller than about $1{0}^{7}(m/{10}^{\ensuremath{-}22}\text{ }\text{ }\mathrm{eV}{)}^{\ensuremath{-}3/2}$ ${M}_{\ensuremath{\bigodot}}$ do not form, and the abundance of halos smaller than a few times $1{0}^{10}(m/{10}^{\ensuremath{-}22}\text{ }\text{ }\mathrm{eV}{)}^{\ensuremath{-}4/3}$ ${M}_{\ensuremath{\bigodot}}$ is substantially smaller in FDM than in CDM. (ii) FDM halos are comprised of a central core that is a stationary, minimum-energy solution ",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,5,Galaxy Zoo: morphologies derived from visual inspection of galaxies from the Sloan Digital Sky Survey<sup>★</sup>,2008,Chris Lintott; Kevin Schawinski; Anže Slosar; Kate Land; S. P. Bamford; D. Thomas,Monthly Notices of the Royal Astronomical Society,1459,https://doi.org/10.1111/j.1365-2966.2008.13689.x,https://openalex.org/W2112193291,Sky; Galaxy; Physics; Astrophysics; Galaxy formation and evolution; Astronomy,"In order to understand the formation and subsequent evolution of galaxies one must first distinguish between the two main morphological classes of massive systems: spirals and early-type systems. This paper introduces a project, Galaxy Zoo, which provides visual morphological classifications for nearly one million galaxies, extracted from the Sloan Digital Sky Survey (SDSS). This achievement was made possible by inviting the general public to visually inspect and classify these galaxies via the internet. The project has obtained more than 4 10 7 individual classifications made by 10 5 participants. We discuss the motivation and strategy for this project, and detail how the classifications were performed and processed. We find that Galaxy Zoo results are consistent with those for subsets of SDSS galaxies classified by professional astronomers, thus demonstrating that our data provide a robust morphological catalogue. Obtaining morphologies by direct visual inspection avoids introducing biases associated with proxies for morphology such as colour, concentration or structural parameters. In addition, this catalogue can be used to directly compare SDSS morphologies with older data sets. The colour-magnitude diagrams for each morphological class are shown, and we illustrate how these distributions differ from those inferred using colour alone as a proxy for morphology.",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,6,The Galactic Center massive black hole and nuclear star cluster,2010,R. Genzel; Frank Eisenhauer; S. Gillessen,Reviews of Modern Physics,1217,https://doi.org/10.1103/revmodphys.82.3121,https://openalex.org/W2016598507,Physics; Galactic Center; Astrophysics; Astronomy; Star cluster; Black hole (networking); Stars; Milky Way,"The Galactic Center is an excellent laboratory for studying phenomena and physical processes that may be occurring in many other galactic nuclei. The center of our Milky Way is by far the closest galactic nucleus, and observations with exquisite resolution and sensitivity cover 18 orders of magnitude in energy of electromagnetic radiation. Theoretical simulations have become increasingly more powerful in explaining these measurements. This review summarizes the recent progress in observational and theoretical work on the central parsec, with a strong emphasis on the current empirical evidence for a central massive black hole and on the processes in the surrounding dense nuclear star cluster. Current evidence is presented, from the analysis of the orbits of more than two dozen stars and from the measurements of the size and motion of the central compact radio source, Sgr $\mathrm{A}*$, that this radio source must be a massive black hole of about $4.4\ifmmode\times\else\texttimes\fi{}{10}^{6}{M}_{\astrosun{}}$, beyond any reasonable doubt. What is known about the structure and evolution of the dense nuclear star cluster surrounding this black hole is reported, including the astounding fact that stars have been forming in the vicinity of Sgr $\mathrm{A}*$ recently, apparently with a top-heavy stellar-mass function. A dense concentration of fainter stars centered in the immediate vicinity of the massive black hole are discussed, three of which have orbital peri-bothroi of less th",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,7,LIGO: the Laser Interferometer Gravitational-Wave Observatory,2009,B. P. Abbott; R. Abbott; R. X. Adhikari; P. Ajith; B. Allen; G. Allen,Reports on Progress in Physics,1209,https://doi.org/10.1088/0034-4885/72/7/076901,https://openalex.org/W2142520301,LIGO; Physics; Gravitational wave; Observatory; Interferometry; Astronomical interferometer; Astronomy; Gravitational-wave astronomy,"The goal of the Laser Interferometric Gravitational-Wave Observatory (LIGO) is to detect and study gravitational waves (GWs) of astrophysical origin. Direct detection of GWs holds the promise of testing general relativity in the strong-field regime, of providing a new probe of exotic objects such as black holes and neutron stars and of uncovering unanticipated new astrophysics. LIGO, a joint Caltech-MIT project supported by the National Science Foundation, operates three multi-kilometer interferometers at two widely separated sites in the United States. These detectors are the result of decades of worldwide technology development, design, construction and commissioning. They are now operating at their design sensitivity, and are sensitive to gravitational wave strains smaller than one part in 10(21). With this unprecedented sensitivity, the data are being analyzed to detect or place limits on GWs from a variety of potential astrophysical sources.",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,8,The universal rotation curve of spiral galaxies — I. The dark matter connection,1996,M. Persic; P. Salucci; Fulvio Stel,Monthly Notices of the Royal Astronomical Society,1206,https://doi.org/10.1093/mnras/278.1.27,https://openalex.org/W2062540759,Physics; Astrophysics; Galaxy rotation curve; Dark matter; Dark matter halo; Halo; Spiral galaxy; Photometry (optics),"Abstract We use a homogeneous sample of about 1100 optical and radio rotation curves (RCs) and relative surface photometry to investigate the main mass structure properties of spirals, over a range of 6 mag and out to ≾ 1.5 and 2 optical radii (for the optical and radio data, respectively). We confirm the strong dependence on luminosity for both the profile and the amplitude of RCs claimed by Persic &amp; Salucci. Spiral RCs show the striking feature that a single global parameter, e.g. luminosity, dictates the rotational velocity at any radius for any object, so revealing the existence of a universal RC. At high luminosities, there is a slight discrepancy between the profiles of RCs and those predicted from the luminous matter (LM) distributions: this implies a small, yet detectable, amount of dark matter (DM). At low luminosities, the failure of the LM prediction is much more severe, and the DM is the only relevant mass component. We show that the universal RC implies a number of scaling properties between dark and luminous galactic structure parameters: (i) the DM/LM mass ratio scales inversely with luminosity; (ii) the central halo density scales as L−0.7; (iii) the halo core radius is comparable to the optical radius, but shrinks for low luminosities; (iv) the total halo mass scales as L0.5. Such scaling properties can be represented as a curve in the (luminosity)-(DM/LM mass ratio)-(DM core radius)-(DM central density) space, which provides a geometrical description of ",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,9,History of dark matter,2018,Gianfranco Bertone; Dan Hooper,Reviews of Modern Physics,1188,https://doi.org/10.1103/revmodphys.90.045002,https://openalex.org/W2403089519,Physics; Dark matter; Galaxy rotation curve; Astrophysics; Dark fluid; Cosmology; Galaxy; Baryonic dark matter,"The standard model of modern cosmology is unthinkable without dark matter, although direct detections are still missing. A broad perspective of how dark matter was postulated and became accepted is presented, from prehistory, over observations of galaxy clusters, galaxy rotation curves, the search for baryonic dark matter, possible alternative explanations via modified gravity, up to the hunt for dark matter particles. The interplay is described between observational discoveries and theoretical arguments which led finally to the adoption of this paradigm.",Hubble sequence spiral elliptical galaxies morphology,
hubble_sequence,openalex,10,THE COSMOS2015 CATALOG: EXPLORING THE 1 &lt; z &lt; 6 UNIVERSE WITH HALF A MILLION GALAXIES,2016,C. Laigle; H. J. McCracken; O. Ilbert; Bau-Ching Hsieh; I. Davidzon; P. Capak,The Astrophysical Journal Supplement Series,1135,https://doi.org/10.3847/0067-0049/224/2/24,https://openalex.org/W2340905026,Physics; Redshift; Astrophysics; Galaxy; Photometric redshift; Universe; Stellar mass; Astronomy,"ABSTRACT We present the COSMOS2015 24 catalog, which contains precise photometric redshifts and stellar masses for more than half a million objects over the 2deg 2 COSMOS field. Including new images from the UltraVISTA-DR2 survey, Y-band images from Subaru/Hyper-Suprime-Cam, and infrared data from the Spitzer Large Area Survey with the Hyper-Suprime-Cam Spitzer legacy program, this near-infrared-selected catalog is highly optimized for the study of galaxy evolution and environments in the early universe. To maximize catalog completeness for bluer objects and at higher redshifts, objects have been detected on a χ 2 sum of the and z ++ images. The catalog contains objects in the 1.5 deg 2 UltraVISTA-DR2 region and objects are detected in the “ultra-deep stripes” (0.62 deg 2 ) at (3 σ , 3″, AB magnitude). Through a comparison with the zCOSMOS-bright spectroscopic redshifts, we measure a photometric redshift precision of = 0.007 and a catastrophic failure fraction of %. At , using the unique database of spectroscopic redshifts in COSMOS, we find = 0.021 and . The deepest regions reach a 90% completeness limit of to z = 4. Detailed comparisons of the color distributions, number counts, and clustering show excellent agreement with the literature in the same mass ranges. COSMOS2015 represents a unique, publicly available, valuable resource with which to investigate the evolution of galaxies within their environment back to the earliest stages of the history of the universe. The COSM",Hubble sequence spiral elliptical galaxies morphology,
