galaxy_name,taxonomy_stage,followup_priority_rank,recommended_followup,classification_reason,f_star,f_gas,log10_Sigma_b,RHI_Rd,BTFR_offset_dex,alpha_BTFR,bdvr_overprediction_dex,velocity_fractional_error,Inc,residual_after,claim_boundary
NGC5055,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.830635017923709,0.1693649820762909,9.15554991251676,10.95625,-0.0386809066203296,0.836831822215002,0.18919590445232043,0.027374301675977656,55.0,0.0812325839862033,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC3198,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.569708176180754,0.430291823819246,8.734238971292958,11.35668789808917,-0.0057153449276559,0.9740232197317132,0.15623034275964656,0.02598267821452365,73.0,0.01445012400904,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC4559,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.5562627137766096,0.4437372862233905,8.798358135563797,10.076190476190476,-0.0272680317387209,0.881990559282707,0.17778302957071154,0.042079207920792075,67.0,0.046321993048576,candidate only; resolved H I and geometry checks required before true-falsifier claim
UGC09133,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.7608718569655787,0.2391281430344212,8.78468591858822,8.658536585365853,-0.0122162887862699,0.9452951342214784,0.16273128661826047,0.018518518518518517,53.0,0.0197609743394426,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC6946,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.8143848024495663,0.1856151975504337,9.0358616469088,8.709016393442623,-0.0016078980002648,0.9926227029034655,0.1521228958322555,0.06859660163624921,38.0,0.058596687186907,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC4088,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.8305981179736397,0.1694018820263602,9.188702834895674,8.624031007751938,-0.0182867368556962,0.9192349459648738,0.1688017346876869,0.04018637157833431,69.0,0.0689284569414336,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC1090,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.7551270976014745,0.2448729023985255,8.784824515769072,8.637393767705383,-0.0042631387432271,0.9805589826795166,0.15477813657521777,0.022506082725060828,64.0,0.0466728506407996,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC5371,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.919653485596212,0.080346514403788,8.726000664142939,4.036290322580645,-0.0461740768174391,0.8084475446368847,0.19668907464942972,0.018615751789976133,53.0,0.1079036650332194,candidate only; resolved H I and geometry checks required before true-falsifier claim
NGC0801,true_falsifier_candidate,1,"highest: resolved H I, inclination/distance audit, outer-curve confirmation",clean scalar geometry with severe mismatch but without failed/stalled gas-rich indicators; requires resolved H I/geometry checks before any true-falsifier claim,0.8351130393642101,0.1648869606357899,8.59295919409849,5.159403669724771,-0.0259494687486376,0.8873624817109284,0.1764644665806282,0.028169014084507043,80.0,0.0615193459804852,candidate only; resolved H I and geometry checks required before true-falsifier claim
DDO161,failed_stalled,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history",gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,0.1300587637772103,0.8699412362227897,8.352711411437879,8.762295081967213,-0.0599157101031501,0.7588720887275076,0.19406680746917412,0.02865761689291101,70.0,0.0283902536175344,boundary-object interpretation; resolved H I and stellar-population follow-up required
