object_name,label_family,decision,evidence_class,reason,tier_after_decision
UGC07125,A/R mismatch,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,H I asymmetry,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,SFE/depletion,not_promoted,rotation_curve_context_only,"UGC07125 remains quarantined; SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,Vrot/sigma,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,burstiness,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,centroid offset,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,lopsidedness,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
UGC07125,warp / PA twist,not_promoted,rotation_curve_context_only,UGC07125 remains quarantined; SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
DDO064,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO064,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
DDO161,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
DDO161,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
F563-1,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-1,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F563-V2,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F568-V1,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
F583-1,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
F583-1,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC0100,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC1003,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,A/R mismatch,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,H I asymmetry,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,SFE/depletion,not_promoted,rotation_curve_context_only,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,Vrot/sigma,not_promoted,rotation_curve_context_only,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,burstiness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,centroid offset,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct centroid offset map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,lopsidedness,not_promoted,rotation_curve_context_only,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,unpromoted_not_tier_a_map_level_dynamical_label
NGC3109,warp / PA twist,not_promoted,rotation_curve_context_only,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,unpromoted_not_tier_a_map_level_dynamical_label
