priority_rank,object_name,source_type,m40_stratum,followup_question,needed_data,reason,A_target,A_pred_m38_feedback,A_activation_flip_m39
1,UGC07125,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?","resolved H I velocity field, inclination reaudit, outer-curve endpoint reliability, SFR/SFE/depletion time",severe under-rotation/endpoint tension; quarantine flag; inclination extreme,0.185688488795864,0.8427145490592466,0.1572854509407534
2,DDO064,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; high Vflat uncertainty,0.7313883056240699,0.8840348362269889,0.1159651637730111
2,DDO161,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.5612513207542514,0.8299125613602398,0.1700874386397601
2,F563-1,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; inclination extreme; high Vflat uncertainty,1.0,0.7982177580273739,0.201782241972626
2,F563-V2,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,local measurement-contamination flag; inclination extreme; high Vflat uncertainty,1.0,0.9351116892567132,0.0648883107432868
2,F568-V1,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; high Vflat uncertainty,1.0,0.9358986842280618,0.0641013157719382
2,NGC0100,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension; inclination extreme,0.7574205131254876,0.95067273549769,0.0493272645023099
2,NGC0801,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.6044754277243196,0.9984144971620064,0.0015855028379936
2,NGC1003,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.6959850040662326,0.1744134407461028,0.8255865592538972
2,NGC1090,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.6611679418079871,0.9981267547347478,0.0018732452652522
2,NGC3198,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,0.7652021531474711,0.9651184296667707,0.0348815703332292
2,NGC4088,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.4597920095678989,0.99871883692658,0.0012811630734199
2,NGC4559,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.6428376682942409,0.994375820570823,0.005624179429177
2,NGC5055,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,0.4049988834479593,0.9445893747503736,0.0554106252496263
2,NGC5371,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",measurement-quality audit before activation modeling,severe under-rotation/endpoint tension,0.1229344705079685,0.9989297709155236,0.0010702290844764
2,NGC6946,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension; approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,0.7301681133883909,0.9695344960184638,0.0304655039815362
2,NGC7331,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,approach/recede mismatch available; H I asymmetry index available; H I warp index available; H I disturbance score available,0.6529781202223786,0.9826478020249368,0.0173521979750631
2,UGC01230,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; severe under-rotation/endpoint tension; inclination extreme,0.5981967627928872,0.9211053155929432,0.0788946844070568
2,UGC01281,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,inclination extreme,0.9382739299718946,0.8190456889603805,0.1809543110396194
2,UGC04278,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,inclination extreme,1.0,0.8968187255146262,0.1031812744853738
2,UGC05721,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; high Vflat uncertainty,1.0,0.3294293652854921,0.670570634714508
2,UGC06667,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,inclination extreme,1.0,0.6441705025157599,0.3558294974842401
2,UGC08550,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,inclination extreme,0.925304421239436,0.876458545316628,0.1235414546833719
2,UGC09133,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.4767803589538333,0.9981343162029768,0.0018656837970232
2,UGC10310,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,local measurement-contamination flag; severe under-rotation/endpoint tension; inclination extreme,0.6433123110527825,0.9386387062464124,0.0613612937535875
2,UGC12632,direct_sparc_m36_m39,measurement_contaminated_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,severe under-rotation/endpoint tension,0.5876019195241267,0.8551866103604365,0.1448133896395634
3,D631-7,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,none from available local flags,1.0,0.8862798013445741,0.1137201986554259
3,F583-1,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,0.8682175583963055,0.7982267965268923,0.2017732034731076
3,NGC3109,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",SFR/SFE/depletion time plus outer-curve quality flag,none from available local flags,1.0,0.6776019511345286,0.3223980488654714
3,NGC3741,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,1.0,0.1018654518254444,0.8981345481745556
3,NGC5585,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,0.9035639477886522,0.9572478618814194,0.0427521381185805
3,UGC00128,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,0.9289624089297926,0.922610731696926,0.077389268303074
3,UGC00731,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,0.695472852986707,0.640558090654279,0.3594419093457209
3,UGC04499,direct_sparc_m36_m39,clean_juvenile_failed_candidates,"Is the negative rank signal physical, observational, or both?",resolved H I asymmetry/warp and approaching-receding split,none from available local flags,0.7308090958470224,0.9366573089911638,0.0633426910088361
