object_name,label_family,status,priority_rank,priority_bin,priority_reason,query_string,recommended_source_type,target_role
UGC07125,A/R mismatch,missing_context_available,1,minimum_25_pool,missing_context_available;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,H I asymmetry,missing_context_available,1,minimum_25_pool,missing_context_available;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""H I"" asymmetry lopsidedness",resolved H I maps or map-level asymmetry literature,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,SFE/depletion,missing_context_available,1,minimum_25_pool,missing_context_available;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""star formation efficiency"" ""depletion time"" ""H I""",same-object SFR plus H I/H2 gas mass/depletion measurements,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,Vrot/sigma,missing_context_available,1,minimum_25_pool,missing_context_available;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""Vrot"" ""sigma"" ""velocity dispersion""",resolved kinematic survey or velocity-dispersion/rotation measurements,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,burstiness,missing_high_priority,1,minimum_25_pool,missing_high_priority;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" burstiness ""star formation history"" Halpha FUV","resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,centroid offset,missing_high_priority,1,minimum_25_pool,missing_high_priority;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""H I"" ""centroid offset"" stellar gas",H I/stellar centroid comparison from resolved maps,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,external morphology,missing_high_priority,1,minimum_25_pool,missing_high_priority;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" morphology RC3 HyperLEDA NED S4G",RC3/HyperLEDA/NED/S4G or visual morphology catalog,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,lopsidedness,missing_high_priority,1,minimum_25_pool,missing_high_priority;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""H I"" lopsidedness Fourier asymmetry",H I surface-density maps or Fourier/lopsidedness literature,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
UGC07125,warp / PA twist,missing_high_priority,1,minimum_25_pool,missing_high_priority;object_rank=1;primary_non_mature;quarantined_follow_up,"""UGC07125"" ""H I"" warp ""position angle"" ""tilted ring""",tilted-ring H I velocity-field fits; PA twist literature,primary_non_mature_acquisition;quarantined_follow_up_not_clean_inference;measurement_quality_follow_up
DDO064,A/R mismatch,missing_context_available,2,minimum_25_pool,missing_context_available;object_rank=2;primary_non_mature,"""DDO064"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,primary_non_mature_acquisition
