object_name,label_family,unresolved_reason,next_decisive_source_needed
UGC07125,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07125,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
DDO064,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
