candidate_name,dataset,analog_tier,analog_score,data_completeness,missing_required_fields,followup_priority,predicted_followup_signature,recommended_next_action,galaxy_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,f_star,f_gas,molecular_to_atomic_ratio,depletion_time_hi_yr,depletion_time_h2_yr,external_maturity_class,m9_threshold_proxy_activation,btfr_offset_dex,high_atomic_gas_score,low_molecular_fraction_score,long_depletion_time_score,low_stellar_fraction_proxy
GASS102001,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.8268548974389411,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS102001,J020104.14+144203.4,1160555719.745543,3890452816.839944,129715056.12108532,0.0979625284671783,0.1783445718144306,0.8216554281855695,0.033341891606964,52819198599.296486,1761091994.46445,gas-rich,0.0,0.2980582770454205,0.9018955353329127,0.88886036131012,0.742122801748509,0.7027590469759489
GASS108119,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7923374464367279,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS108119,J080415.03+084355.4,1250331102.332507,5623413251.903491,366370606.0496895,0.2925680577754974,0.1356586612434481,0.864341338756552,0.0651509305181644,25563760042.358334,1665502754.302716,gas-rich,0.0,0.2810385684737237,0.9534044093912003,0.7828302316061186,0.5407894949804705,0.7739022312609198
GASS110082,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7564885993463379,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS110082,J100447.66+052206.9,1225805519.07623,3019948537.254365,115302249.16187246,0.0894438922405242,0.227182386588097,0.772817613411903,0.0381802033178689,44905598961.94392,1714504898.4777012,gas-rich,0.0,-0.0898970514054422,0.7849619567859903,0.8727326556071036,0.6964810638274889,0.6213626890198384
GASS122005,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7550532803881191,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS122005,J222047.33+141404.7,1545363683.1076517,4466831997.992275,223517286.4914585,0.1819442510604858,0.1985428249440024,0.8014571750559976,0.0500393313632399,32652235630.98308,1633896038.489352,gas-rich,0.0,0.039571904733938,0.832661195666817,0.8332022287892004,0.6075112317771693,0.6690952917599959
GASS112113,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7349024810867348,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS112113,J121814.63+102114.2,1622643578.0713923,4265796312.095559,226022445.9196752,0.1730632930994033,0.2135967226128758,0.7864032773871242,0.0529848191013701,32782856453.72742,1736993718.8269331,gas-rich,0.0,-0.1370367864586867,0.7953136277966678,0.8233839363287664,0.6094781740666745,0.6440054623118737
GASS109080,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7329397603866824,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS109080,J095446.17+132229.1,1889836780.942064,7079464062.202788,570185716.4252049,0.4872176349163055,0.1566526020590044,0.8433473979409954,0.0805408024414478,19325423646.348804,1556485127.9978645,gas-rich,0.0,0.1002275544038546,0.8842442552845021,0.7315306585285074,0.46394570212324027,0.7389123299016593
GASS101026,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7234851957638779,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS101026,J015403.67+145434.1,2417810244.794647,5888442760.205689,306762022.42507505,0.2303620129823684,0.226866106899233,0.773133893100767,0.0520956108290945,33997049989.63084,1771097085.597082,gas-rich,0.0,0.5802182264680056,0.7673360005656124,0.8263479639030183,0.6197632011161834,0.6218898218346116
GASS111054,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.7011982389622136,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS111054,J115202.61+254504.0,1700476596.598762,5754402406.055371,518973627.1862469,0.436817467212677,0.16930160301261,0.83069839698739,0.0901872324118538,17520716945.889416,1580144971.2212353,gas-rich,0.0,0.1251492929205504,0.8433179726750387,0.6993758919604874,0.43813421603349073,0.71783066164565
GASS114142,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6739582349552646,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114142,J142810.03+265608.8,1617043159.2464616,4073799557.57968,316378582.8435421,0.2633310556411743,0.2168786853764183,0.7831213146235816,0.0776617941977264,20575444086.488503,1597925904.1716974,gas-rich,0.0,-0.2369442767599032,0.7563008100945722,0.7411273526742453,0.48132004189537864,0.6385355243726362
GASS114000,xGASS/xCOLD GASS,medium gas-maturity proxy analog,0.6729510235005537,1.0,,seek rotation curve and resolved H I map for gas-rich pre-transition candidate,"high atomic gas reservoir, low molecular conversion, and inefficient stellar conversion",prioritize objects for rotation-curve/H I follow-up rather than direct BDVR activation claims,GASS114000,J142852.82+275003.8,617787663.0937668,2041739917.404129,211273609.6676431,0.1842569261789322,0.1709289228713459,0.8290710771286541,0.1034772391266448,14737650011.107056,1525011334.3641243,gas-rich,0.0,0.0691261570276076,0.8224181907116991,0.6550758695778507,0.3915599849038915,0.7151184618810902
