topic,source,rank,title,year,authors,venue,citationCount,influentialCitationCount,doi,arxiv,url,abstract,query,error
btfr,semantic_scholar,8,"A Generalist, Automated ALFALFA Baryonic Tully–Fisher Relation",2022,C. Ball; M. Haynes; Michael G. Jones; Bo Peng; A. Durbala; R. Koopmann,Astrophysical Journal,4,0,10.3847/1538-4357/accb53,2212.08728,https://www.semanticscholar.org/paper/fd01645d4459545f963f633c94cf49fb434b41c4,"The baryonic Tully–Fisher relation (BTFR) has applications in galaxy evolution as a test bed for the galaxy–halo connection and in observational cosmology as a redshift-independent secondary distance indicator. This analysis leverages the 31,000+ galaxy Arecibo Legacy Fast ALFA (Arecibo L-band Feed Array) Survey (ALFALFA) sample—which provides redshifts, velocity widths, and H i content for a large number of gas-bearing galaxies in the local universe—to fit and test an extensive local universe BTFR. The fiducial relation is fit using a 3000-galaxy subsample of ALFALFA, and is shown to be consistent with the full sample. This BTFR is designed to be as inclusive of ALFALFA and comparable samples as possible. Velocity widths measured via an automated method and M b proxies extracted from survey data can be uniformly and efficiently measured for other samples, giving this analysis broad applicability. We also investigate the role of sample demographics in determining the best-fit relation. We find that the best-fit relations are changed significantly by changes to the sample mass range and to second order by changes to mass sampling, gas fraction, different stellar mass and velocity wi",baryonic Tully Fisher relation galaxy evolution gas rich dwarfs,
merger_spheroid,semantic_scholar,5,A graph-based Neural Network surrogate model for accelerating semi-analytical model of galaxy formation and evolution,2026,Xuejie Li; Zhongxu Zhai; Xiaohu Yang; Andrew Benson; Yun Wang,,0,0,,2604.23147,https://www.semanticscholar.org/paper/2e633255872505c257b204e470e2ffb49b4f6fde,"Understanding how galaxy populations emerge and evolve from the growth of dark matter structure is a central challenge in galaxy formation theory. Semi-analytic models (SAMs) provide an efficient framework to address this problem, but exploring large ensembles of merger trees across broad parameter spaces remains computationally demanding. We develop a conditional graph neural network surrogate model that combines merger tree information with SAM parameters to predict galaxy properties across cosmic time. Using merger trees of dark matter halos from the Uchuu simulation and the Galacticus SAM, the model predicts stellar mass, luminosity, angular momentum, gas metal mass, and specific star formation rate across the wide redshift range of 0<= z<= 5. For instance, the model can predict stellar mass at 0<= z<= 3 with a scatter of 0.19-0.28 dex and coefficient of determination R^2 of 0.946-0.973 (R^2 close to 1 indicates prediction closely matching the truth). The results show that a single graph based model can reproduce these galaxy properties with good accuracy over multiple SAM realizations, merger trees and redshifts. This catalog-level model provides a practical route for accelera",mergers elliptical galaxy formation angular momentum spheroid evolution,
merger_spheroid,semantic_scholar,1,Active Galactic Nucleus Feedback in an Elliptical Galaxy with the Most Updated AGN Physics. I. Low Angular Momentum Case,2017,F. Yuan; D. Yoon; Ya-Ping Li; Z. Gan; L. Ho; Fulai Guo,,87,5,10.3847/1538-4357/aab8f8,1712.04964,https://www.semanticscholar.org/paper/9a088cdb105df7142d6c2e89fd789610adbd1799,"We investigate the effects of AGN feedback on the cosmological evolution of an isolated elliptical galaxy by performing two-dimensional high-resolution hydrodynamical numerical simulations. The inner boundary of the simulation is chosen so that the Bondi radius is resolved. Compared to previous works, the two accretion modes—namely, hot and cold, which correspond to different accretion rates and have different radiation and wind outputs—are carefully discriminated, and the feedback effects by radiation and wind in each mode are taken into account. The most updated AGN physics, including the descriptions of radiation and wind from the hot accretion flows and wind from cold accretion disks, are adopted. Physical processes like star formation and SNe Ia and II are taken into account. We study the AGN light curve, typical AGN lifetime, growth of the black hole mass, AGN duty cycle, star formation, and X-ray surface brightness of the galaxy. We compare our simulation results with observations and find general consistency. Comparisons with previous simulation works find significant differences, indicating the importance of AGN physics. The respective roles of radiation and wind feedback ",mergers elliptical galaxy formation angular momentum spheroid evolution,
merger_spheroid,semantic_scholar,6,Active Galactic Nucleus Feedback in an Elliptical Galaxy with the Most Updated AGN Physics. II. High Angular Momentum Case,2017,D. Yoon; F. Yuan; Z. Gan; J. Ostriker; Ya-Ping Li; L. Ciotti,Astrophysical Journal,47,0,10.3847/1538-4357/aad37e,1803.03675,https://www.semanticscholar.org/paper/5ea403451c86008a52ef2c930c9f662a03bf379a,"This is the second paper of our series of works of studying the effects of active galactic nuclei (AGNs) feedback on the cosmological evolution of an isolated elliptical galaxy by performing two-dimensional hydrodynamical simulations. Compared to previous works, the main improvement here is that we adopt the most up-to-date AGN physics, which is described in detail in the first paper, including the discrimination of the two accretion modes and the most up-to-date descriptions of the wind and radiation in the two modes. In Paper , we consider the case that the specific angular momentum of the gas in the galaxy is very low. In this paper, we consider the case that the specific angular momentum of the gas is high. At the galactic scale, we adopt the gravitational torques raised due to non-axisymmetric structure in the galaxy as the mechanism of the transfer of angular momentum of gas, as proposed in some recent works. Because our simulations are axisymmetric, we make use of a parameterized prescription to mimic this mechanism. Special attention is paid to the effects of specific angular momentum of the galaxy on the AGN light curve, growth of the black hole mass, AGN duty-cycle, star ",mergers elliptical galaxy formation angular momentum spheroid evolution,
gas_regulator,semantic_scholar,3,Bridging Theory and Observations: Insights into Star Formation Efficiency and Dust Attenuation in z > 5 Galaxies,2025,Daisuke Toyouchi; H. Yajima; A. Ferrara; Kentaro Nagamine,Monthly notices of the Royal Astronomical Society,4,0,10.1093/mnras/staf1182,2502.12538,https://www.semanticscholar.org/paper/930e1e94faf02210dc150d0ecb6e61fe597e9989,"
 We investigate early galaxy evolution by modeling self-consistently their radially-resolved evolution of gas, stars, heavy elements, and dust content. Our model successfully reproduces various observed properties of JWST-identified galaxies at z > 5, including sizes, stellar masses, star formation rates (SFR), metallicities, and dust-to-stellar mass ratios. We show that the star formation efficiency (SFE), $f_\ast \equiv {\rm SFR}/(f_{\rm b} \dot{M}_{\rm h})$, is regulated by the global equilibrium between cosmological gas inflows, star formation, and gas outflows. Our model predicts $f_\ast \lesssim 20~{{\ \rm per\ cent}}$ for galaxies with halo masses of Mh ∼ 1011 − 12 M⊙ down to z = 5, allowing them to reach intrinsic ultraviolet (UV) magnitudes of MUV ≲ −22 mag; when dust attenuation is ignored, the predicted UV luminosity function (LF) at z ∼ 12 agrees well with observations. However, our model also suggests that these galaxies would be heavily obscured by dust, with high optical depths at 1500 Åof τ1500 ≳ 10, causing the dust-attenuated UV LF to fall significantly below the observed one. This discrepancy highlights the need for mechanisms that mitigate strong dust attenuati",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
merger_spheroid,semantic_scholar,8,Bulgeless Evolution And the Rise of Discs (BEARD). II. The role of mergers in shaping the Milky Way analogues in TNG50,2025,Y. Rosas-Guevara; J. Méndez-Abreu; A. D. Lorenzo-C'aceres; S. Cardona-Barrero; E. Arjona-Gálvez; Mario Chamorro Cazorla,Astronomy &amp; Astrophysics,0,0,10.1051/0004-6361/202556875,2605.18948,https://www.semanticscholar.org/paper/f87b17beba90498b3ec54d13dbddea0f754aeea6,"We study the formation and evolution of bulgeless galaxies within the Milky Way-Andromeda analogue sample of the TNG50 simulation. Through kinematic decomposition with , we identified bulgeless galaxies with a bulge-to-disc mass ratio of B/Dłeq0.08, in line with the Bulgeless Evolution And the Rise of Discs (BEARD) survey and Milky Way constraints. We compared the identified bulgeless galaxies to those that are bulge-dominated, which have a bulge-to-disc mass ratio of B/D>1. We find that 74% of bulgeless galaxies experience at least one major merger (stellar mass ratio 1:4) throughout their lifespan. Bulgeless galaxies form later (z_ Mordor 50 ∼ 0.7) compared to bulge-dominated counterparts (z_ 50 ∼ 1.2). Bulgeless galaxies have lower-mass haloes and higher specific stellar angular momentum, which is compatible with Milky Way observations. However, specific star formation rates and hydrogen gas fractions are slightly higher than Milky Way observations. Our analysis of the redshift evolution of stellar components reveals that bulgeless galaxies have gradual disc growth with high thin disc-to-total mass ratios (D/T>0.5) since z and minimal bulge growth (B/T<0.1) since z In contrast, ",mergers elliptical galaxy formation angular momentum spheroid evolution,
gas_regulator,semantic_scholar,4,Density modulated star formation efficiency: implications for the observed abundance of ultra-violet luminous galaxies at z > 10,2025,R. Somerville; L. Yung; Lachlan Lancaster; S. Menon; L. Sommovigo; S. Finkelstein,Monthly notices of the Royal Astronomical Society,14,1,10.1093/mnras/staf1824,2505.05442,https://www.semanticscholar.org/paper/dedb45bb6ea3b82b86e53e0d06ea2a61b67f1cdb,"
 The number density of UV luminous galaxies discovered by the James Webb Space Telescope at ultra high redshift (z ≳ 10) is higher, and declines much more slowly with increasing redshift, than expected from extrapolations of lower redshift observations or pre-launch physics-based models. Most of these models assume star formation efficiencies (SFE) of only a few percent, motivated by observations of nearby galaxies. In this work, we incorporate a scaling of SFE with gas surface density (which we refer to as Density Modulated SFE; DMSFE), motivated by cloud-scale simulations and theory, into a semi-analytic cosmological model (SAM) of galaxy formation which is calibrated to match the observed rest-UV sizes of high redshift galaxies. We also model the impact of dust and bursty star formation on the SAM-predicted properties of observed galaxies. We show that with plausible values of the main parameters, such as the fraction of gas in dense clouds fdense, our new models easily reproduce or even exceed the observed galaxy number densities at z ∼ 6–17. While no single value of fdense is able to reproduce the very shallow observed decline of the galaxy number density at z ≳ 12, it is pla",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
merger_spheroid,semantic_scholar,2,Exploring Lenticular Galaxy Formation in Field Environments Using NewHorizon: Evidence for Counterrotating Gas Accretion as a Formation Channel,2024,Seong-Beom Han; J. K. Jang; E. Contini; Y. Dubois; Seyoung Jeon; S. Kaviraj,Astrophysical Journal,1,0,10.3847/1538-4357/ad8ba7,2411.05910,https://www.semanticscholar.org/paper/def69fbad66a796ef16da81ddcd44b365e62770f,"The formation pathways of lenticular galaxies (S0s) in field environments remain a matter of debate. We utilize the cosmological hydrodynamic simulation, NewHorizon, to investigate the issue. We select two massive star formation quenched S0s as our main sample. By closely tracing their physical and morphological evolution, we identify two primary formation channels: mergers and counterrotating gas accretion. The former induces central gas inflow due to gravitational and hydrodynamic torques, triggering active central star formation, which quickly depletes the gas of the galaxy. Counterrotating gas accretion overall has a similar outcome but more exclusively through hydrodynamic collisions between the preexisting and newly accreted gas. Both channels lead to S0 morphology, with gas angular momentum cancellation being a crucial mechanism. These formation pathways quench star formation on a short timescale (<Gyr) compared to the timescales of environmental effects. We also discuss how counterrotating gas accretion may explain the origin of S0s with ongoing star formation and the frequently observed gas–star misaligned kinematics in S0s.",mergers elliptical galaxy formation angular momentum spheroid evolution,
gas_regulator,semantic_scholar,1,From haloes to Galaxies – I. The dynamics of the gas regulator model and the implied cosmic sSFR history,2014,Yingjie Peng; R. Maiolino,,91,1,10.1093/mnras/stu1288,1402.5964,https://www.semanticscholar.org/paper/a7ca92d676fc75cfa175884e8d5f6693e7a774bf,"We explore the basic parameters that drive the evolution of the fundamental properties of star forming galaxies within the gas regulator model, or bathtub-model. We derive the general analytic form of the evolution of the key galaxy properties, i.e. gas mass, star formation rate (SFR), stellar mass, specific SFR, gas fraction, gas phase metallicity and stellar metallicity, without assuming that galaxies live in the equilibrium state. We find that the timescale required to reach equilibrium, tau_eq, which is determined by the product of star-formation efficiency and mass-loading factor, is the central parameter that is essentially in control of the evolution of all key galaxy properties. The scatters in most of the key scaling relations, such as the mass-SFR relation and mass-metallicity relation, are primarily governed by tau_eq. Most strikingly, the predicted sSFR evolution is controlled solely by tau_eq (apart from the cosmic time). Although the precise evolution of the sSFR depends on tau_eq, the sSFR history is largely insensitive to different values of tau_eq. The difference between the minimum and maximum sSFR at any epoch is less than a factor of four. The shape of the predi",gas regulator bathtub model galaxy evolution equilibrium gas fraction star formation efficiency,
btfr,semantic_scholar,1,"Gas-rich ""ultra-diffuse"" galaxies are consistent with the baryonic Tully-Fisher relation and with Milgromian dynamics",2024,F. Lelli,Astronomy &amp; Astrophysics,2,1,10.1051/0004-6361/202451289,2408.05269,https://www.semanticscholar.org/paper/59886fe74a06c061c61b656de1cf83e606c6441b,"Some gas-rich ``ultra-diffuse'' galaxies (UDGs), which are extreme examples of low surface brightness (LSB) dwarf galaxies, have been reported to lack dark matter and to be offset from the baryonic Tully-Fisher relation (BTFR). If confirmed, these UDGs would represent a serious challenge for both Lambda CDM galaxy-formation models and Milgromian dynamics. Here I demonstrate that these conclusions are very dubious due to underestimated uncertainties on inclinations and/or distances. First, I show that UDGs are offset from the BTFR in the same way as usual face-on LSB dwarfs due to systematic biases at low inclinations. Next, I analyze the two UDGs with the best available rotation-curve data. The first (AGC\,242019) is ideally inclined for kinematic studies; MOND can fit the observed rotation curve with a distance of 12.5pm 0.6 Mpc, which is consistent with Virgocentric flow models. The second UDG (AGC\,114905) is close to face-on, so not ideal for kinematic studies; MOND can fit the observed rotation curve with a distance of 68pm 13 Mpc and inclination of circ circ $, which are consistent with existing data. In particular, I show that the disk inclination is more uncertain than prev",baryonic Tully Fisher relation galaxy evolution gas rich dwarfs,
