object_name,acquisition_priority_rank,candidate_tier,taxonomy_stage,quality_quarantined,measurement_limited,missing_label_count,recommended_first_labels,crossmatch_lead_count,next_action
UGC07125,1,minimum_25_pool,failed_stalled,True,True,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC07125; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
DDO064,2,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for DDO064; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
DDO161,3,minimum_25_pool,failed_stalled,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for DDO161; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F563-1,4,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F563-1; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F563-V2,5,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F563-V2; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F568-V1,6,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F568-V1; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
F583-1,7,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for F583-1; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC0100,8,minimum_25_pool,failed_stalled,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC0100; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC1003,9,minimum_25_pool,failed_stalled,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC1003; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3109,10,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3109; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC3741,11,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC3741; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
NGC5585,12,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for NGC5585; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC00128,13,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC00128; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC00731,14,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC00731; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC01230,15,minimum_25_pool,disturbed_or_measurement_contaminated,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC01230; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
UGC01281,16,minimum_25_pool,juvenile_forming,False,False,9,A/R mismatch;H I asymmetry;warp / PA twist;lopsidedness,8,"Search resolved-map/dynamical literature for UGC01281; start with A/R mismatch, H I asymmetry, warp / PA twist, lopsidedness; record source provenance before promoting any label to Tier A."
